Gene1,Gene2
"Bcl6-75651139","Slc7a6-293662",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Eef1g-74819238","Inpp4b-72080054",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Cebpa-80343361","Npy1r-72103807",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Lass4-176962","Slc7a6-293662",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Eef1g-74819238","Pip4k2c-799",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Phospho1-71670685","Rasl11a-75988636",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Anxa1-70813897","Gpr89-67881554",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Inpp4b-72080054","Pip4k2c-799",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Chrm5-75826557","Zscan22-247974",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Cul4a-75749399","Mtpn-2411",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Gpr37-2271","Six3os1-75041431",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Kcnn2-77371815","Rapgef6-75041528",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Filip1-73635796","Sox2ot-74658020",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Bcl6-75651139","Zfp365-73929873",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Adssl1-72104185","Tac2-77279001",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Cxcl12-79907936","LOC434236-73615572",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Arhgap39-73992939","Eef1g-74819238",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Bcl11a-71836837","Ptgs2-71016664",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Adra2b-74724532","Ier2-71836849",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Dhrs3-112650553","Ptgs2-71016664",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Grin2b-74988710","Stxbp2-75774667",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Pitx2-79556607","Tspan11-70436731",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Inpp4b-72080054","Slc6a7-71016653",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Filip1-73635796","Mylk3-73992942",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Accn4-71924089","Lct-73931621",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Slc6a2-73615562","Vtn-67752116",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Bok-71064032","Ephb3-1492",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Anxa1-70813897","Grsf1-73994670",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"C1qtnf5-293664","Pip4k2c-799",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Fzd9-73907498","Ier2-71836849",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Bend6-77280313","Mylk3-73992942",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Htr2b-79556708","Ngef-72129292",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Efcab6-74819465","Tfam-67936016",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Srsf9-75043152","Wnt1-112644522",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"C1qtnf5-293664","LOC434236-73615572",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Aco1-76135819","D8Ertd82e-73931630",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Bend6-77280313","Xk-71670735",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Kcnj4-74357568","LOC434236-73615572",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Cxcl12-79907936","Gpr89-67881554",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Dvl2-112649476","Txn2-71670705",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Ldb2-74641311","Slc8a2-74581450",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Prdx1-836","Slc35f1-75084145",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Eef1g-74819238","Stk24-73635773",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"BC005537-321201","Sox2ot-74658020",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"LOC434300-75988611","Rasal1-75774111",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Tnnt1-77280576","Zfp423-1607",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Arhgap39-73992939","Chrm5-75826557",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Pgr15l-73615804","Stard13-71587846",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Sccpdh-73635772","Zim2-76135811",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"6820408C15Rik-74363339","Acaa2-71924375",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Dvl2-112649476","F2r-1711",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Bcl6-75651139","Tfam-67936016",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Bpgm-77414641","Lims2-75145999",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Efcab6-74819465","Slc7a6-293662",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"LOC433088-71924504","Pgbd5-73931642",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Slc6a2-73615562","Stk24-73635773",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Kcnj4-74357568","Pip4k2c-799",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Mef2c-79567505","Rgs8-71020445",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Lass4-176962","Mtfp1-75774673",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Sox2ot-74658020","Stk24-73635773",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Bend6-77280313","Lct-73931621",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Pak6-75084501","Slc6a7-71016653",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Gpr89-67881554","Stk24-73635773",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Rasgrp1-76115742","Slc12a2-74882926",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Mtfp1-75774673","Trem2-67870433",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Grin2b-74988710","LOC434300-75988611",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Atp11a-75043137","B630019K06Rik-74881160",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Grin3a-73907499","LOC380720-73931422",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Anxa1-70813897","Inpp4b-72080054",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Mmgt1-77414585","Sult1a1-75774114",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Nup93-75774679","Trem2-67870433",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
"Epha4-2187","Setd5-37",[143]_DEN_cleanedPairs90,[970]_DEN_cleanedPairs90
