Gene1,Gene2
"Klf7-112202624","Pitx2-79556607",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Ppp1r7-832","Tnip2-74425540",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Bpgm-77414641","Grin2b-74988710",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Lzic-276064","Rprm-75651169",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Csf2rb2-73992937","Dhrs3-112650553",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Fbln7-73929875","Pde11a-75081007",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gldc-77887886","Otc-74581369",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Fhdc1-73925717","LOC434300-75988611",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"AI593442-71250312","Vdr-112204135",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Hmgcr-75079789","Slc25a25-544516",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Dpysl5-73635770","N4bp2-74363354",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Lims2-75145999","Myo10-74743255",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Dpysl5-73635770","Fhdc1-73925717",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"AW046396-72340236","Klf7-112202624",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gbx2-77868786","Zfp932-75774665",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Dbi-71836880","Gm261-73636032",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Grin2b-74988710","Kcng1-77340480",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Eps8l2-74658244","Slc12a2-74882926",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gpr151-74724649","Slco1a5-67850945",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Ntf5-1393","Zfp790-356855",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Acan-77869840","LOC434300-75988611",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Cdh13-77869863","Zfp790-356855",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Filip1l-74363347","Slc22a3-73931644",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"P2rx3-75888751","Zfp790-356855",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Bcl6-75651139","Dhrs3-112650553",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Chat-252","LOC434300-75988611",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Yme1l1-356849","Zfp790-356855",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Filip1l-74363347","Gdf1-75081205",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Lims2-75145999","Ybx2-75080250",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Cpe-1691","Sytl3-2653",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Syt6-1032","Wnt8b-1890",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Grik3-75749418","Rassf4-74988636",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Dcn-329","Gtf3c2-7",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
"Gnal-71670716","Slc22a3-73931644",[1107]_DEN_cleanedPairs90,[978]_DEN_cleanedPairs90
